제어번호,제목,저자,발행처,발행년도,
1,나미야 잡화점의 기적 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2012,
2,소년이 온다 :한강 장편소설,한강 지음,창비,2014,
3,여행의 이유 :김영하 산문,김영하 지음,문학동네,2019,
4,바깥은 여름 :김애란 소설,김애란 [지음],문학동네,2017,
5,미드나잇 라이브러리,매트 헤이그 지음,인플루엔셜,2021,
6,"총, 균, 쇠 :무기, 병균, 금속은 인류의 운명을 어떻게 바꿨는가",재레드 다이아몬드 지음,문학사상,2013,
7,지구 끝의 온실 :김초엽 장편소설,김초엽 지음,Giant Books(자이언트북스),2021,
8,친밀한 이방인 :정한아 장편소설,정한아 지음,문학동네,2017,
9,"햇빛은 찬란하고 인생은 귀하니까요 :밀라논나 이야기: ciao, amici",장명숙 지음,김영사,2021,
10,가재가 노래하는 곳 :델리아 오언스 장편소설,델리아 오언스 [지음],살림 : 살림출판사,2019,
11,홍학의 자리 :정해연 장편소설,정해연 지음,엘릭시르 : 문학동네,2021,
12,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음,북플라자(Book plaza),2017,
13,불편한 편의점 :김호연 장편소설,김호연 지음,나무옆의자,2021,
14,역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음,웅진지식하우스 : 웅진씽크빅,2022,
15,파친코 :이민진 장편소설 .2,이민진 지음,문학사상,2018,
16,"(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편",송희구 지음,서삼독,2021,
17,H마트에서 울다,미셸 자우너 지음,문학동네,2022,
18,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,양귀자 [지음],쓰다,2019,
19,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설,이미예 지음,팩토리나인,2020,
20,밝은 밤 :최은영 장편소설,최은영 지음,문학동네,2021,
21,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",유발 하라리 지음,김영사,2015,
22,완전한 행복 :정유정 장편소설,정유정 지음,은행나무,2021,
23,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집,김초엽 지음,허블,2019,
24,이기적 유전자,리처드 도킨스 지음,을유문화사,2018,
25,테라피스트 :B.A. 패리스 장편소설,B.A. 패리스 지음,모모,2021,
26,하얼빈 :김훈 장편소설,김훈 지음,문학동네,2022,
27,"(1일 1로그 100일 완성) IT 지식 :하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기",브라이언 W. 커니핸 지음,인사이트,2021,
28,구의 증명 :최진영 소설,최진영 지음,은행나무,2015,
29,나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기,너바나 지음,시공사: 알키,2015,
30,내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업,비욘 나티코 린데블라드 지음,다산초당 : 다산북스,2022,
31,"달러구트 꿈 백화점 :이미예 장편소설 .2 ,단골손님을 찾습니다",이미예 지음,팩토리나인,2021,
32,대도시의 사랑법 :박상영 연작소설,박상영 지음,창비,2019,
33,바깥,안익수 외 지음,마음산책,2012,
34,부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 지음,민음인,2018,
35,자본 .Ⅲ-1,카를 마르크스 지음,길,2010,
